提交时间（自动）,口号内容（必填）,提交者（自动）
2024/10/21,混入人类天府魂，来世还做厚嘴唇,Stratocumulus
2024/10/21,吃火锅，看熊猫，听歌要听七里桥,你是宇宙
2024/10/21,还是得听chilichill啊！！！,海边c_
2024/10/21,不吃火锅，就吃六十块的麻辣烫,你是宇宙
2024/10/21,不吃火锅，就来吃梨吃藕,鍇
2024/10/21,火锅chili熊猫chill，来成都就得听chilichill,雨矢逐天狼
2024/10/21,七里桥提醒您，不吃火锅，就吃梨吃藕,Ay蓝仙叹
2024/10/21,七里桥，二仙桥，混入人类谁知道？,沐
2024/10/21,七里桥是我叠,White Clover
2024/10/21,"锦官城里花锦秀,来了就听七里秋",伊德里斯
2024/10/21,峨眉山上千峰雪，锦官城内七里秋,F.
2024/10/21,烤匠火锅全都有，吃完来看七里秋,Yu丶
2024/10/21,不吃火锅 就听chilichill 爱看熊猫 也爱听七里桥!,筱语
2024/10/21,九天开出一成都，厚嘴唇星入画图,伊德里斯
2024/10/21,当年走马锦城西，曾为肉块醉似泥,伊德里斯
2024/10/21,赏成都风景，听七里桥曲，享美好人生,360007
2024/10/21,和七里桥在成都的街头走一走～,Question
2024/10/22,chilichill宇宙第一！,∈lâm
